N,P,K,temperature,humidity,ph,rainfall,label
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,jute
84,40,43,25.01157559,88.3313023,7.228268228,169.4168014,jute
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
62,56,35,25.97825807,81.65769588,6.235357638,163.3488091,jute
115,48,16,25.54359718,84.09229796,7.175934962,88.94245493,cotton
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
131,35,18,24.49112609,82.24415809,7.057693366,64.02949379,cotton
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton
